Jan-19,2564
Feb-19,2820
Mar-19,3508
Apr-19,3088
May-19,3299
Jun-19,2939
Jul-19,3320
Aug-19,3418
Sep-19,3604
Oct-19,3495
Nov-19,4163
Dec-19,4882
Jan-20,2211
Feb-20,3260
Mar-20,2992
Apr-20,2425
May-20,2707
Jun-20,3244
Jul-20,3965
Aug-20,3315
Sep-20,3333
Oct-20,3583
Nov-20,4021
Dec-20,4904
Jan-21,2252
Feb-21,2952
Mar-21,3573
Apr-21,3048
May-21,3059
Jun-21,2731
Jul-21,3563
Aug-21,3092
Sep-21,3478
Oct-21,3478
Nov-21,4308
Dec-21,5029
Jan-22,2075
Feb-22,3264
Mar-22,3308
Apr-22,3688
May-22,3136
Jun-22,2824
Jul-22,3644
Aug-22,4694
Sep-22,2914
Oct-22,3686
Nov-22,4358
Dec-22,5587
Jan-23,2265
Feb-23,3685
Mar-23,3754
Apr-23,3708
May-23,3210
Jun-23,3517
Jul-23,3905
Aug-23,3670
Sep-23,4221
Oct-23,4404
Nov-23,5086
Dec-23,5725
